zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95353,Modesto,,CA,Stanislaus County,37.66,-120.94,728,
95354,Modesto,,CA,Stanislaus County,37.63,-120.97,16332,
95355,Modesto,,CA,Stanislaus County,37.67,-120.95,42666,
95356,Modesto,,CA,Stanislaus County,37.72,-121.03,24224,
95357,Modesto,,CA,Stanislaus County,37.67,-120.89,10140,
95358,Modesto,,CA,Stanislaus County,37.65,-121.13,22496,
95360,Newman,,CA,Stanislaus County,37.28,-121.2,8424,
95361,Oakdale,"Knights Ferry, Valley Home",CA,Stanislaus County,37.8,-120.74,24557,
95363,Patterson,,CA,Stanislaus County,37.49,-121.25,18121,
95364,Pinecrest,Dardanelle,CA,Tuolumne County,38.28,-119.82,0,
95365,Planada,,CA,Merced County,37.32,-120.3,3801,
95366,Ripon,,CA,San Joaquin County,37.75,-121.12,13598,
95367,Riverbank,,CA,Stanislaus County,37.73,-120.95,17864,
95368,Salida,,CA,Stanislaus County,37.71,-121.09,10850,
95369,Snelling,,CA,Merced County,37.54,-120.45,674,
95370,Sonora,,CA,Tuolumne County,37.98,-120.39,19792,
95372,Soulsbyville,,CA,Tuolumne County,37.99,-120.25,2327,
95373,Standard,Sonora,CA,Tuolumne County,37.96,-120.31,0,
95374,Stevinson,,CA,Merced County,37.3,-120.87,1329,
95375,Strawberry,Pinecrest,CA,Tuolumne County,38.19,-120.01,0,
95376,Tracy,,CA,San Joaquin County,37.73,-121.42,38068,
95377,Tracy,,CA,San Joaquin County,37.62,-121.45,23164,
95378,Tracy,,CA,San Joaquin County,37.8,-121.55,1002,
95379,Tuolumne,,CA,Tuolumne County,37.95,-120.2,2996,
95380,Turlock,,CA,Stanislaus County,37.47,-120.85,28101,
95381,Turlock,,CA,Stanislaus County,37.49,-120.85,2128,
95382,Turlock,,CA,Stanislaus County,37.53,-120.84,26190,
95383,Twain Harte,,CA,Tuolumne County,38.08,-120.24,3648,
95385,Vernalis,Tracy,CA,Stanislaus County,37.61,-121.25,0,
