zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95829,Sacramento,,CA,Sacramento County,38.48,-121.34,19919,
95830,Sacramento,,CA,Sacramento County,38.49,-121.27,679,
95831,Sacramento,,CA,Sacramento County,38.49,-121.53,34473,
95832,Sacramento,,CA,Sacramento County,38.43,-121.51,7151,
95833,Sacramento,,CA,Sacramento County,38.61,-121.49,27060,
95834,Sacramento,,CA,Sacramento County,38.64,-121.54,18721,
95835,Sacramento,,CA,Sacramento County,38.69,-121.56,27167,
95836,Sacramento,,CA,Sacramento County,38.71,-121.54,0,
95837,Sacramento,,CA,Sacramento County,38.69,-121.6,0,
95838,Sacramento,,CA,Sacramento County,38.64,-121.44,23781,
95840,Sacramento,,CA,Sacramento County,38.58,-121.49,0,
95841,Sacramento,,CA,Sacramento County,38.66,-121.35,13816,
95842,Sacramento,,CA,Sacramento County,38.68,-121.34,22672,
95843,Antelope,Sacramento,CA,Sacramento County,38.71,-121.36,34636,
95851,Sacramento,,CA,Sacramento County,38.6,-121.44,0,
95852,Sacramento,,CA,Sacramento County,38.6,-121.44,0,
95853,Sacramento,,CA,Sacramento County,38.6,-121.44,0,
95860,Sacramento,,CA,Sacramento County,38.61,-121.38,620,
95864,Sacramento,,CA,Sacramento County,38.58,-121.37,19481,
95865,Sacramento,,CA,Sacramento County,38.59,-121.4,586,
95866,Sacramento,,CA,Sacramento County,38.59,-121.4,569,
95867,Sacramento,,CA,Sacramento County,38.58,-121.49,0,
95887,Sacramento,,CA,Sacramento County,38.61,-121.36,0,
95894,Sacramento,,CA,Sacramento County,38.55,-121.49,0,
95899,Sacramento,,CA,Sacramento County,38.57,-121.52,0,
95901,Marysville,"Linda, Loma Rica",CA,Yuba County,39.15,-121.47,22529,
95903,Beale Afb,Marysville,CA,Yuba County,39.12,-121.39,1623,
95910,Alleghany,,CA,Sierra County,39.46,-120.84,0,
95912,Arbuckle,College City,CA,Colusa County,39.02,-122.04,4260,
95913,Artois,,CA,Glenn County,39.72,-122.14,0,
95914,Bangor,,CA,Butte County,39.42,-121.36,691,
95915,Belden,Oroville,CA,Plumas County,40,-121.24,0,
95916,Berry Creek,,CA,Butte County,39.66,-121.38,931,
95917,Biggs,,CA,Butte County,39.42,-121.67,2534,
95918,Browns Valley,,CA,Yuba County,39.33,-121.33,1810,
95919,Brownsville,,CA,Yuba County,39.43,-121.25,914,
95920,Butte City,,CA,Glenn County,39.46,-121.93,0,
95922,Camptonville,,CA,Sierra County,39.42,-121.11,0,
95923,Canyon Dam,Canyondam,CA,Plumas County,40.15,-121.12,0,
95924,Cedar Ridge,,CA,Nevada County,39.19,-121.02,1401,
95925,Challenge,,CA,Yuba County,39.47,-121.19,0,
95926,Chico,,CA,Butte County,39.74,-121.83,22651,
95927,Chico,,CA,Butte County,39.75,-121.81,3301,
95928,Chico,,CA,Butte County,39.71,-121.81,22333,
95929,Chico,,CA,Butte County,39.75,-121.8,0,
95930,Clipper Mills,,CA,Butte County,39.54,-121.16,0,
95932,Colusa,,CA,Colusa County,39.27,-122.05,6178,
95934,Crescent Mills,Crescent Mls,CA,Plumas County,40.07,-120.92,0,
95935,Dobbins,,CA,Yuba County,39.36,-121.2,565,
95936,Downieville,,CA,Sierra County,39.58,-120.79,0,
95937,Dunnigan,,CA,Yolo County,38.88,-122,1072,
95938,Durham,,CA,Butte County,39.61,-121.77,3566,
95939,Elk Creek,,CA,Glenn County,39.54,-122.57,0,
95940,Feather Falls,Oroville,CA,Butte County,39.51,-121.55,0,
95941,Forbestown,,CA,Butte County,39.51,-121.23,0,
95942,Forest Ranch,Butte Meadows,CA,Butte County,39.97,-121.64,1178,
95943,Glenn,,CA,Glenn County,39.6,-122.02,656,
95944,Goodyears Bar,,CA,Sierra County,39.51,-120.94,0,
95945,Grass Valley,,CA,Nevada County,39.18,-120.98,18769,
95946,Penn Valley,,CA,Nevada County,39.18,-121.2,8356,
95947,Greenville,,CA,Plumas County,40.15,-120.84,1342,
95948,Gridley,,CA,Butte County,39.35,-121.76,8183,
95949,Grass Valley,,CA,Nevada County,39.11,-121.12,15758,
95950,Grimes,,CA,Colusa County,39.04,-121.9,0,
95951,Hamilton City,,CA,Glenn County,39.72,-122.05,2398,
95953,Live Oak,,CA,Sutter County,39.23,-121.78,7556,
95954,Magalia,,CA,Butte County,39.84,-121.6,8445,
95955,Maxwell,,CA,Colusa County,39.31,-122.17,1193,
95956,Meadow Valley,,CA,Plumas County,39.92,-121.05,0,
95957,Meridian,,CA,Sutter County,39.07,-121.84,650,
95958,Nelson,Durham,CA,Butte County,39.55,-121.77,0,
95959,Nevada City,,CA,Nevada County,39.34,-120.87,14769,
95960,North San Juan,N San Juan,CA,Nevada County,39.42,-120.99,955,
95961,Olivehurst,"Arboga, Plumas Lake, West Linda",CA,Yuba County,39.08,-121.55,16912,
95962,Oregon House,,CA,Yuba County,39.34,-121.23,1301,
95963,Orland,,CA,Glenn County,39.73,-122.33,11337,
95965,Oroville,"Butte Valley, Pulga, Yankee Hill",CA,Butte County,39.5,-121.67,12407,
95966,Oroville,,CA,Butte County,39.45,-121.39,19686,
95967,Paradise,,CA,Butte County,39.74,-121.6,2089,
95968,Palermo,,CA,Butte County,39.43,-121.55,1619,
95969,Paradise,,CA,Butte County,39.74,-121.61,19114,
95970,Princeton,,CA,Glenn County,39.41,-122.04,0,
95971,Quincy,Spring Garden,CA,Plumas County,39.96,-121,4865,
95972,Rackerby,,CA,Yuba County,39.45,-121.31,0,
95973,Chico,Cohasset,CA,Butte County,39.9,-121.83,23889,
95974,Richvale,,CA,Butte County,39.48,-121.73,0,
95975,Rough And Ready,Rough Ready,CA,Nevada County,39.22,-121.15,1434,
95976,Chico,,CA,Butte County,39.75,-121.86,0,
95977,Smartsville,"Big Oak Valley, Big Oak Vly",CA,Yuba County,39.17,-121.29,1146,
95978,Stirling City,,CA,Butte County,39.98,-121.53,0,
95979,Stonyford,,CA,Colusa County,39.27,-122.46,0,
95980,Storrie,Oroville,CA,Plumas County,39.91,-121.33,0,
95981,Strawberry Valley,"La Porte, Strawbrry Vly",CA,Plumas County,39.56,-121.1,0,
95982,Sutter,,CA,Sutter County,39.18,-121.81,2736,
95983,Taylorsville,,CA,Plumas County,40.04,-120.75,0,
95984,Twain,,CA,Plumas County,40.03,-121.08,0,
95986,Washington,,CA,Nevada County,39.33,-120.79,0,
95987,Williams,,CA,Colusa County,39.11,-122.27,5477,
95988,Willows,,CA,Glenn County,39.5,-122.28,6588,
95991,Yuba City,,CA,Sutter County,39.05,-121.61,27881,
95992,Yuba City,,CA,Sutter County,39.02,-121.61,1752,
95993,Yuba City,,CA,Sutter County,39.05,-121.73,27844,
96001,Redding,,CA,Shasta County,40.6,-122.46,23744,
96002,Redding,,CA,Shasta County,40.52,-122.32,23604,
96003,Redding,,CA,Shasta County,40.68,-122.25,30950,
96006,Adin,,CA,Modoc County,41.15,-120.89,0,
96007,Anderson,,CA,Shasta County,40.44,-122.35,16199,
96008,Bella Vista,,CA,Shasta County,40.7,-122.09,1500,
96009,Bieber,,CA,Lassen County,41.06,-121.11,0,
96010,Big Bar,,CA,Trinity County,40.81,-123.25,0,
96011,Big Bend,,CA,Shasta County,41.04,-121.89,0,
96013,Burney,,CA,Shasta County,40.94,-121.74,3131,
96014,Callahan,,CA,Siskiyou County,41.36,-122.77,0,
96015,Canby,,CA,Modoc County,41.44,-120.94,0,
96016,Cassel,,CA,Shasta County,40.92,-121.57,0,
96017,Castella,,CA,Shasta County,41.1,-122.35,0,
96019,Shasta Lake,"Central Valley, Central Vly",CA,Shasta County,40.68,-122.37,6917,
96020,Chester,,CA,Plumas County,40.27,-121.24,2304,
96021,Corning,,CA,Tehama County,39.92,-122.28,11110,
96022,Cottonwood,,CA,Tehama County,40.33,-122.45,11976,
96023,Dorris,,CA,Siskiyou County,41.89,-121.74,858,
96024,Douglas City,,CA,Trinity County,40.58,-122.86,632,
96025,Dunsmuir,,CA,Siskiyou County,41.19,-122.26,1644,
96027,Etna,Sawyers Bar,CA,Siskiyou County,41.41,-123.02,1656,
96028,Fall River Mills,Fl River Mls,CA,Shasta County,41.01,-121.47,1223,
96029,Flournoy,Corning,CA,Tehama County,39.93,-122.48,0,
96031,Forks Of Salmon,Frk Of Salmon,CA,Siskiyou County,41.19,-123.2,0,
96032,Fort Jones,,CA,Siskiyou County,41.59,-122.96,1733,
96033,French Gulch,,CA,Shasta County,40.73,-122.6,0,
96034,Gazelle,,CA,Siskiyou County,41.42,-122.67,0,
96035,Gerber,,CA,Tehama County,40.03,-122.17,2202,
96037,Greenview,,CA,Siskiyou County,41.52,-122.95,0,
96038,Grenada,,CA,Siskiyou County,41.6,-122.54,551,
96039,Happy Camp,,CA,Siskiyou County,41.78,-123.47,798,
96040,Hat Creek,,CA,Shasta County,40.8,-121.46,0,
96041,Hayfork,,CA,Trinity County,40.5,-123.19,1501,
96044,Hornbrook,,CA,Siskiyou County,41.91,-122.49,643,
96046,Hyampom,,CA,Trinity County,40.6,-123.4,0,
96047,Igo,Ono,CA,Shasta County,40.46,-122.7,708,
96048,Junction City,Helena,CA,Trinity County,40.87,-123.1,494,
96049,Redding,,CA,Shasta County,40.56,-122.29,2172,
96050,Klamath River,Horse Creek,CA,Siskiyou County,41.83,-122.92,0,
96051,Lakehead,,CA,Shasta County,40.88,-122.38,902,
96052,Lewiston,,CA,Trinity County,40.78,-122.84,947,
96054,Lookout,,CA,Modoc County,41.3,-121.1,0,
96055,Los Molinos,,CA,Tehama County,40.05,-122.07,2732,
96056,Mcarthur,Little Valley,CA,Lassen County,41.1,-121.34,1210,
96057,Mccloud,,CA,Siskiyou County,41.26,-122.1,1037,
96058,Macdoel,,CA,Siskiyou County,41.74,-121.89,489,
96059,Manton,,CA,Tehama County,40.41,-121.84,0,
96061,Mill Creek,Mineral,CA,Tehama County,40.34,-121.46,0,
96062,Millville,,CA,Shasta County,40.56,-122.07,977,
96063,Mineral,,CA,Tehama County,40.38,-121.57,0,
96064,Montague,,CA,Siskiyou County,41.76,-122.39,3209,
96065,Montgomery Creek,Montgomry Crk,CA,Shasta County,40.86,-121.91,0,
96067,Mount Shasta,,CA,Siskiyou County,41.31,-122.32,6226,
96068,Nubieber,,CA,Lassen County,41.08,-121.19,0,
96069,Oak Run,,CA,Shasta County,40.66,-122.03,667,
96070,Obrien,Lakehead,CA,Shasta County,40.81,-122.32,0,
96071,Old Station,,CA,Shasta County,40.67,-121.47,0,
96073,Palo Cedro,,CA,Shasta County,40.56,-122.2,4146,
96074,Paskenta,,CA,Tehama County,39.88,-122.58,0,
96075,Paynes Creek,,CA,Tehama County,40.35,-121.86,0,
96076,Platina,Wildwood,CA,Shasta County,40.38,-122.91,0,
96078,Proberta,,CA,Tehama County,40.08,-122.17,0,
96079,Shasta Lake,"Central Valley, Central Vly, Project City",CA,Shasta County,40.68,-122.34,0,
96080,Red Bluff,,CA,Tehama County,40.13,-122.43,21073,
96084,Round Mountain,Round Mtn,CA,Shasta County,40.92,-122.02,0,
96085,Scott Bar,,CA,Siskiyou County,41.73,-123.04,0,
96086,Seiad Valley,,CA,Siskiyou County,41.86,-123.22,0,
96087,Shasta,,CA,Shasta County,40.62,-122.5,877,
96088,Shingletown,,CA,Shasta County,40.5,-121.8,3513,
96089,Shasta Lake,Summit City,CA,Shasta County,40.68,-122.4,522,
96090,Tehama,,CA,Tehama County,40.02,-122.13,0,
96091,Trinity Center,Trinity Ctr,CA,Trinity County,41.05,-122.78,501,
96092,Vina,,CA,Tehama County,39.97,-122.02,0,
96093,Weaverville,,CA,Trinity County,40.74,-122.93,3395,
96094,Weed,"Edgewood, Hammond Ranch",CA,Siskiyou County,41.51,-122.36,4766,
96095,Whiskeytown,,CA,Shasta County,40.7,-122.6,0,
96096,Whitmore,,CA,Shasta County,40.63,-121.87,568,
96097,Yreka,,CA,Siskiyou County,41.75,-122.67,7554,
96099,Redding,,CA,Shasta County,40.64,-122.5,2141,
96101,Alturas,,CA,Modoc County,41.43,-120.53,3969,
96103,Blairsden-graeagle,"Blairsden, Blrsdn-greagl, Cromberg, Graeagle",CA,Plumas County,39.78,-120.65,1434,
96104,Cedarville,,CA,Modoc County,41.48,-120.14,627,
96105,Chilcoot,,CA,Plumas County,39.87,-120.2,0,
96106,Clio,,CA,Plumas County,39.72,-120.57,0,
96107,Coleville,,CA,Mono County,38.47,-119.48,903,
96108,Davis Creek,,CA,Modoc County,41.75,-120.4,0,
96109,Doyle,,CA,Lassen County,39.94,-120.06,622,
96110,Eagleville,,CA,Modoc County,41.3,-120.1,0,
96111,Floriston,,CA,Nevada County,39.39,-120.02,0,
96112,Fort Bidwell,,CA,Modoc County,41.88,-120.11,0,
96113,Herlong,,CA,Lassen County,40.2,-120.19,767,
96114,Janesville,,CA,Lassen County,40.28,-120.5,2530,
96115,Lake City,,CA,Modoc County,41.71,-120.23,0,
96116,Likely,,CA,Modoc County,41.29,-120.44,0,
96117,Litchfield,,CA,Lassen County,40.51,-120.31,0,
96118,Loyalton,,CA,Sierra County,39.63,-120.21,1177,
96119,Madeline,,CA,Lassen County,41.05,-120.49,0,
96120,Markleeville,Hope Valley,CA,Alpine County,38.73,-119.84,676,
96121,Milford,,CA,Plumas County,40.18,-120.36,0,
96122,Portola,,CA,Plumas County,39.79,-120.46,3165,
96123,Ravendale,,CA,Lassen County,40.82,-120.28,0,
96124,Calpine,Sattley,CA,Sierra County,39.66,-120.43,0,
96125,Sierra City,,CA,Sierra County,39.6,-120.65,0,
96126,Sierraville,,CA,Sierra County,39.57,-120.34,0,
96127,Susanville,,CA,Lassen County,40.41,-120.65,535,
96128,Standish,,CA,Lassen County,40.35,-120.38,541,
96129,Beckwourth,Portola,CA,Plumas County,39.82,-120.37,0,
96130,Susanville,,CA,Lassen County,40.57,-120.61,11282,
96132,Termo,,CA,Lassen County,40.94,-120.64,0,
96133,Topaz,,CA,Mono County,38.64,-119.48,0,
96134,Tulelake,"Newell, Tionesta",CA,Siskiyou County,41.8,-121.46,1711,
96135,Vinton,,CA,Plumas County,39.71,-120.21,0,
96136,Wendel,,CA,Lassen County,40.31,-120.2,0,
96137,Westwood,Lake Almanor,CA,Lassen County,40.26,-121.02,2564,
96140,Carnelian Bay,,CA,Placer County,39.22,-120.08,929,
96141,Homewood,,CA,Placer County,39.1,-120.19,540,
96142,Tahoma,,CA,El Dorado County,39.02,-120.14,590,
96143,Kings Beach,,CA,Placer County,39.24,-120.04,2971,
96145,Tahoe City,"Alpine Mdws, Alpine Meadows",CA,Placer County,39.18,-120.14,3750,
96146,Olympic Valley,"Alpine Mdws, Alpine Meadows, Olympic Vly, Tahoe City",CA,Placer County,39.19,-120.22,1088,
96148,Tahoe Vista,,CA,Placer County,39.24,-120.05,632,
96150,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.84,-120.01,9905,
96151,South Lake Tahoe,"Fallen Leaf, S Lake Tahoe",CA,El Dorado County,38.94,-119.97,5277,
96152,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.94,-119.97,0,
96154,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.94,-119.97,0,
96155,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.78,-120.07,896,
96156,South Lake Tahoe,S Lake Tahoe,CA,Alpine County,38.94,-119.97,3161,
96157,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.94,-119.97,0,
96158,South Lake Tahoe,S Lake Tahoe,CA,El Dorado County,38.92,-119.96,3210,
96160,Truckee,,CA,Nevada County,39.32,-120.18,4083,
96161,Truckee,Northstar,CA,Nevada County,39.33,-120.24,7896,
96162,Truckee,,CA,Placer County,39.3,-120.31,2826,
